Chunk,Type,Correct Form
you know,Discourse,TRUE
I think,Discourse,TRUE
a bit,Collocations,TRUE
never used to,Complements,TRUE
always used to,Complements,TRUE
a lot of,Particles,TRUE
pounds,Collocations,TRUE
thank you,Collocations,TRUE
in fact,Collocations,TRUE
very much,Collocations,TRUE
pound,Collocations,TRUE
talking about,Collocations,TRUE
I suppose,Collocations,TRUE
at the moment,Fixed phrases,TRUE
a little bit,Fixed phrases,TRUE
looking at,Particles,TRUE
this morning,Collocations,TRUE
any more,Compounds,TRUE
have a look,Collocations,TRUE
in terms of,Fixed phrases,TRUE
last year,Collocations,TRUE
so much,Collocations,TRUE
years ago,Collocations,TRUE
this year,Collocations,TRUE
last night,Collocations,TRUE
rather than,Collocations,TRUE
very good,Collocations,TRUE
I hope,Collocations,TRUE
that way,Collocations,TRUE
said well,Collocations,TRUE
at the end,Particles,TRUE
sort of thing,Fixed phrases,TRUE
as far as,Structures,TRUE
said to,Particles,TRUE
mean that,Collocations,TRUE
all the time,Fixed phrases,TRUE
thank you very much,Discourse,TRUE
too much,Collocations,TRUE
over there,Collocations,TRUE
that sort,Collocations,TRUE
looking for,Complements,TRUE
make sure,Collocations,TRUE
very well,Collocations,TRUE
last week,Collocations,TRUE
in the morning,Collocations,TRUE
next week,Collocations,TRUE
a number of,Collocations,TRUE
out there,Collocations,TRUE
what I mean,Discourse,TRUE
leave it,Collocations,TRUE
at home,Collocations,TRUE
and so on,Fixed phrases,TRUE
not mind,Collocations,TRUE
don't mind,Collocations,TRUE
other people,Collocations,TRUE
not really,Collocations,TRUE
talking to,Particles,TRUE
mind you,Collocations,TRUE
want it,Collocations,TRUE
much more,Collocations,TRUE
look at,Particles,TRUE
the other one,Collocations,TRUE
some people,Collocations,TRUE
this week,Collocations,TRUE
this time,Collocations,TRUE
very nice,Collocations,TRUE
I bet,Collocations,TRUE
these things,Collocations,TRUE
call it,Collocations,TRUE
not sure,Collocations,TRUE
at the time,Fixed phrases,TRUE
thought that,Complements,TRUE
going out,Collocations,TRUE
it comes,Collocations,TRUE
quite a lot,Fixed phrases,TRUE
even if,Collocations,TRUE
last time,Collocations,TRUE
believe that,Complements,TRUE
be interested in,Complements,TRUE
become interested in,Complements,TRUE
better and better,Structures,TRUE
it is easy to do,Structures,TRUE
have work to do,Structures,TRUE
find it nice,Structures,TRUE
so happy that,Structures,TRUE
warm enough,Structures,TRUE
some minutes before,Structures,TRUE
some meters deep,Structures,TRUE
decide to,Complements,TRUE
be able to,Complements,TRUE
stop working,Complements,TRUE
don't know what,Complements,TRUE
